16792|||A&D Zehdenicker AGRAR- und Dienstleistungs GmbH|Zehdenick Stadt|326973|1090|03307 2504||Klausdamm 6|||Landmaschinenhändler|A & D Zehdenicker Agrar- und Dienstleistungs GmbH|http://www.firmenwissen.de/az/firmeneintrag/16792/2010476049/A_D_ZEHDENICKER_AGRAR_UND_DIENSTLEISTUNGS_GMBH.html|info@agrar-dienstleistungen-zehdenick.de
49453|||Heide GmbH & Co. KG|Barver|75345|251|0481 85710||Süderdamm 5|||Generalunternehmer|A. Heinemann Heide GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/49453/2050713754/HEIDE_GMBH_CO_KG.html|None
18292|||APN Agrarproduktion GmbH &CoKG|Kuchelmiß|433605|1445|038456 60908||Ziegeleiweg 3|||Landwirtschaftliche Produkte Einzelhandel|A.P.N. Agrarproduktion Nebeltal GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/18292/3190288421/A_P_N_AGRARPRODUKTION_NEBELTAL_GMBH_CO_KG.html|apnagrar@vodafone.de
19395|||Aalberts KG|Wendisch Priborn|370614|1235|038737 20427||Retzower Weg 3|||Landwirtschaftsbetrieb|Aalberts KG|http://www.firmenwissen.de/az/firmeneintrag/19395/3330050598/AALBERTS_KG.html|info@besserschlafenmilch.de
19395|||Aalberts Jacob|Wendisch Priborn|152956|510|038737 20427||Retzower Weg 3|||Landwirtschaftsbetrieb|Aalberts KG|http://www.firmenwissen.de/az/firmeneintrag/19395/3330050598/AALBERTS_KG.html|info@besserschlafenmilch.de
29386|||Abelo GmbH & Co. KG|Dedelstorf|188999|630|04155 8180||Abeltwiete 1|||Maschinenbauunternehmen|Abel GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/29386/2070144760/ABELO_GMBH_COKG.html|None
18184|||ABG Broderstorf KG|Broderstorf|444104|1480|038204 12990||Fienstorfer Mühle 40|||Landwirtschaftsbetrieb|Abg Broderstorf KG|http://www.firmenwissen.de/az/firmeneintrag/18184/3190152896/ABG_BRODERSTORF_KG.html|j-hkuehl@gmx.de
6188|||ABG-Landsberg GmbH & Co.KG|Landsberg Stadt|469811|1566|034602 21528||Queiser Str. 1|||Großhändler für landwirtschaftliche Erzeugnisse|Abg Trans GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/06188/3130151476/ABG_LANDSBERG_GMBH_CO_KG.html|tw@abg-ag.de
1920|||ABK Agrarbetriebsgesellschaft mbH Kriepitz|Elstra Stadt|427275|1424|035793 5248||Gödlauer Str. 6||||ABK Agrarbetriebsgesellschaft mbH Kriepitz|http://www.firmenwissen.de/az/firmeneintrag/01920/3070183980/ABK_AGRARBETRIEBSGESELLSCHAFT_MBH_KRIEPITZ.html|None
4668|||Ablasser Obstgarten GmbH|Grimma Stadt|113009|377|034364 59785||Obergrauschwitzer Str.|||Landmaschinenhändler|Ablasser Obstgarten GmbH|http://www.firmenwissen.de/az/firmeneintrag/04668/3150016549/ABLASSER_OBSTGARTEN_GMBH.html|AblasserObstgarten@obstland.de
