16792|||A&D Zehdenicker AGRAR- und Dienstleistungs GmbH|Zehdenick Stadt|326973|1090|03307 2504||Klausdamm 6|||Landmaschinenhändler|A & D Zehdenicker Agrar- und Dienstleistungs GmbH|http://www.aud-zehdenick.de/
49453|||Heide GmbH & Co. KG|Barver|75345|251|0481 85710||Süderdamm 5|||Generalunternehmer|A. Heinemann Heide GmbH & Co. KG|http://www.heinemann-heide.de/index2.php
18292|||APN Agrarproduktion GmbH &CoKG|Kuchelmiß|433605|1445|038456 60908||Ziegeleiweg 3|||Landwirtschaftliche Produkte Einzelhandel|A.P.N. Agrarproduktion Nebeltal GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/18292/3190288421/A_P_N_AGRARPRODUKTION_NEBELTAL_GMBH_CO_KG.html
19395|||Aalberts KG|Wendisch Priborn|370614|1235|038737 20427||Retzower Weg 3|||Landwirtschaftsbetrieb|Aalberts KG|http://www.besserschlafenmilch.de/wer_sind_wir_aalberts_kg.php
19395|||Aalberts Jacob|Wendisch Priborn|152956|510|038737 20427||Retzower Weg 3|||Landwirtschaftsbetrieb|Aalberts KG|http://www.besserschlafenmilch.de/wer_sind_wir_aalberts_kg.php
29386|||Abelo GmbH & Co. KG|Dedelstorf|188999|630|04155 8180||Abeltwiete 1|||Maschinenbauunternehmen|Abel GmbH & Co. KG|http://www.abel.de/de/
18184|||ABG Broderstorf KG|Broderstorf|444104|1480|038204 12990||Fienstorfer Mühle 40|||Landwirtschaftsbetrieb|Abg Broderstorf KG|https://www.google.de/search?sclient=psy-ab&safe=off&site=&source=hp&q=ABG+Broderstorf+KG&btnK=Google+Search&oq=&gs_l=&pbx=1
4758|||ABG Gaunitz GmbH & Co. KG ABG Agrar Verwaltungs GmbH diese|Liebschützberg|369986|1233|03435 622116||Am Stützpunkt 1|||Landwirtschaftsbetrieb|Abg Gaunitz GmbH & Co. KG|http://www.online-handelsregister.de/handelsregisterauszug/sn/Leipzig/A/ABG+motion+GmbH+%26+Co.+KG/1926908
6188|||ABG-Landsberg GmbH & Co.KG|Landsberg Stadt|469811|1566|034602 21528||Queiser Str. 1|||Großhändler für landwirtschaftliche Erzeugnisse|Abg Trans GmbH & Co. KG|http://www.firmenwissen.de/az/firmeneintrag/06188/3130151476/ABG_LANDSBERG_GMBH_CO_KG.html
1920|||ABK Agrarbetriebsgesellschaft mbH Kriepitz|Elstra Stadt|427275|1424|035793 5248||Gödlauer Str. 6||||ABK Agrarbetriebsgesellschaft mbH Kriepitz|http://www.firmenwissen.de/az/firmeneintrag/01920/3070183980/ABK_AGRARBETRIEBSGESELLSCHAFT_MBH_KRIEPITZ.html
4668|||Ablasser Obstgarten GmbH|Grimma Stadt|113009|377|034364 59785||Obergrauschwitzer Str.|||Landmaschinenhändler|Ablasser Obstgarten GmbH|http://www.sachsenobst-vermarktung.de/Ablasser-Obstgarten.html
16247|||ABP Landwirtschaft Neugrimnitz GmbH|Althüttendorf|323433|1078|033361 70018||Neue Dorfstraße 31|||Landwirtschaftsbetrieb|ABP Landwirtschaft Neugrimnitz GmbH|http://www.firmenwissen.de/az/firmeneintrag/16247/3250040405/ABP_LANDWIRTSCHAFT_NEUGRIMNITZ_GMBH.html
