29413|||Ackerbau Eickhorst GbR|Dähre|159034|530|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/29413/3350080861/FRANK_FEHSE_HANS_JOACHIM_UND_JAN_WILHELM_VON_D_OHE_ACKERBAU_EICKHORST_GBR.html|05837587@t-online.de|1
15754|||Naturhof Heidesee GmbH & Co.KG|Heidesee|180271|601|033767 899681||Weg zur Mühle 2a|||Landwirtschaftliche Produkte Großhandel|Naturhof Heidesee GmbH & Co KG|http://www.firmenwissen.de/az/firmeneintrag/15754/2011751562/NATURHOF_HEIDESEE_GMBH_CO_KG.html|a_conring@hotmail.com|2
37154|||Klostergut KWS Wiebrechtshausen GmbH|Northeim Stadt|135562|452|05551 995549||37154 Northeim|||Kloster|KWS Klostergut Wiebrechtshausen GmbH|http://www.firmenwissen.de/az/firmeneintrag/37154/2130089122/KWS_KLOSTERGUT_WIEBRECHTSHAUSEN_GMBH.html|a.altenweger@kws.com|3
19288|||GbR Hoop|Ludwigslust Stadt|163576|545|0172 5433345||Bliesenhorst 5|||Landwirtschaftsbetrieb|Landwirtschaftsbetrieb Hoop GbR|http://www.firmenwissen.de/az/firmeneintrag/22848/2390436926/KUESTENSPORT_GMBH.html|a.brink@sportsisters.de|4
6543|||Wieseröder Landw. GbR|Falkenstein/Harz Stadt|110570|369|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/33442/4130129373/CHRISTIAN_UND_ANDRE_GERDHENRICH_GBR_LANDW_LOHNUNTERNEHMEN.html|a.gerdhenrich@t-online.de|5
37124|||BG Fette-Uhlendorff GbR|Rosdorf|87690|292|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/28201/2050930350/ARNO_LANGE_UND_TIM_FETTE_GBR.html|a.lange@bremen-media.de|6
9633|||AS von Schönberg GbR|Halsbrücke|170172|567|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/09633/3030068353/GUTSBETRIEB_ALBRECHT_SUSANNE_VON_SCHOENBERG_GBR.html|a.v.schoenberg@gmx.de|7
6682|||AB Gröbitz GmbH|Teuchern Stadt|657544|2192|034445 20283||Siedlung 17a|||Landwirtschaftliche Produkte Einzelhandel|Agrarbetrieb Gröbitz GmbH|http://www.firmenwissen.de/az/firmeneintrag/06682/3130030113/AGRARBETRIEB_GROEBITZ_GMBH.html|AB-Groebitz@t-online.de|8
4668|||Ablasser Obstgarten GmbH|Grimma Stadt|113009|377|034364 59785||Obergrauschwitzer Str.|||Landmaschinenhändler|Ablasser Obstgarten GmbH|http://www.firmenwissen.de/az/firmeneintrag/04668/3150016549/ABLASSER_OBSTGARTEN_GMBH.html|AblasserObstgarten@obstland.de|9
37327|||Abri - Landwirtschaftliche Aktiengesellschaft|Wingerode|117776|393|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/37327/3230036298/ABRI_LANDWIRTSCHAFTLICHE_AKTIENGESELLSCHAFT.html|abri.ag@hotmail.de|10
7616|||Abtei-Bäuerliche Aktiengesellschaft|Rauschwitz|275330|918|036692 22217||Dorfstraße 11|||Landwirtschaftliche Produkte Einzelhandel|Abtei-Bäuerliche AG Rauschwitz|http://www.firmenwissen.de/az/firmeneintrag/07616/3410008852/ABTEI_BAEUERLICHE_AKTIENGESELLSCHAFT.html|abteirauschwitz@live.de|11
14641|||GbR Meißner/Nowak|Nauen Stadt|212908|710|03321 455272||Eigenheimsiedlung 21|||Landwirtschaftliche Produkte Einzelhandel|Meißner & Nowak GbR|http://www.firmenwissen.de/az/firmeneintrag/14641/3270013847/ANKE_MEISSNER_UND_PETER_NOWAK_GBR_ACKERBAUBETRIEB.html|acker-me-no-markee@wb.de|12
6333|||Ackerbau Arnstein GbR|Arnstein Stadt|349436|1165|03473 807647||Harkeröder Str. 34|||Landwirtschaftsbetrieb|Ackerbau Arnstein GbR|http://www.firmenwissen.de/az/firmeneintrag/06333/3130022481/GERALD_ROKOHL_HOLGER_WEPNER_GBR_ACKERBAU_ARNSTEIN.html|ackerbau-arnstein@web.de|13
4808|||Ackerbau-GbR Falkenhain|Lossatal|450384|1501|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/04808/3150030434/PETRA_PISSORS_UND_MARCO_PISSORS_GBR_ACKERBAU_FALKENHAIN_GBR.html|ackerbau-Falkenhain@t-online.de|14
8258|||Agro-Dienst-Marktfrucht GmbH|Markneukirchen Stadt|162458|542|037422 5580||An der Papiermühle 1|||Landwirtschaftsbetrieb|Agro-Dienst Marktfrucht GmbH Markneukirchen|http://www.firmenwissen.de/az/firmeneintrag/08258/8110029276/AGRO_DIENST_MARKTFRUCHT_GMBH.html|adm@agrodienst.de|15
85586|||Landesanstalt für Landwirtschaft|Poing|842502|2808|None||No Address|||No Business Description|No Business Name|http://www.firmenwissen.de/az/firmeneintrag/98596/3210123731/ADOLF_ROBUS_LANDWIRTSCHAFTSBETRIEB.html|adolf_robus@finnhuette-am-rennsteig.de|16
9648|||Agrargenossenschaft Altmittweida eG|Altmittweida|331694|1106|03727 2652||Hauptstraße 81|||Landwirtschaftsbetrieb|Agrargenossenschaft Altmittweida e.G.|http://www.firmenwissen.de/az/firmeneintrag/09648/3030019469/AGRARGENOSSENSCHAFT_ALTMITTWEIDA_E_G.html|ag-altmittweida@t-online.de|17
