16303|||MILGETA Agrar GmbH|Schwedt/Oder Stadt|401689|1339|03332 510237||Schwedenweg 18|||Landmaschinenhändler|MILGETA Agrargesellschaft mbH Vierraden|http://www.firmenwissen.de/az/firmeneintrag/16303/3250012236/MILGETA_AGRARGESELLSCHAFT_MIT_BESCHRAENKTER_HAFTUNG_VIERRADEN.html|None
19300|||Milower Agrarmarketing GmbH|Milow|182333|608|038781 40222||Gartenstraße 6|||Gartengeräte und Landgeräte Einzelhandel|Milower Agrarmarketing GmbH|http://www.firmenwissen.de/az/firmeneintrag/19300/3330045086/MILOWER_AGRARMARKETING_GMBH.html|None
19300|||Milower Feldfrucht GmbH|Steesow|230159|767|038781 40222||Postweg|||Kartoffel Großhandel|Milower Feldfrucht GmbH|http://www.firmenwissen.de/az/firmeneintrag/19300/3330045086/MILOWER_AGRARMARKETING_GMBH.html|None
1920|||Miltitzer Agrar GmbH|Nebelschütz|337856|1126|035796 88910||Lindach 2|||Landwirtschaftsbetrieb|Miltitzer Agrar GmbH|http://www.firmenwissen.de/az/firmeneintrag/01920/3070033967/MILTITZER_AGRAR_GMBH.html|info@miltitz-agrar.de
18519|||Miltzower Milchhof GmbH|Sundhagen|273964|913|038328 391||Schwarzer Weg 4 OT|||Rinderzüchtereien|Miltzower Milchhof GmbH|http://www.firmenwissen.de/az/firmeneintrag/18519/3190014395/MILTZOWER_MILCHHOF_GMBH.html|None
87775|||Mindelmilch KG|Salgen|57223|191|08265 7088||Zaisertshofener Str. 6|||Tierzucht und Tierhaltung|Mindelmilch KG|https://duckduckgo.com/?q=Mindelmilch+KG+site%3Ahttp%3A%2F%2Fwww.firmenwissen.de%2F|None
38855|||Mitschurin GaLaBau &Technik eG|Wernigerode Stadt|129213|431|03943 264510||Dornbergsweg 38|||Landschaftsgärtner|Mitschurin Galabau & Technik e.G.|http://www.firmenwissen.de/az/firmeneintrag/38855/3370002672/MITSCHURIN_GALABAU_TECHNIK_E_G.html|info@mitschurin.de
2997|||MKH Agrar-Produkte GmbH Wittichenau|Wittichenau Stadt|796229|2654|035725 70258||Kamenzer Str. 58|||Landwirtschaftsbetrieb|MKH Agrar-produkte GmbH|http://www.firmenwissen.de/az/firmeneintrag/02997/3050006486/MKH_AGRAR_PRODUKTE_GMBH.html|post@mkh-wittichenau.de
15566|||MM-Agrar Betriebs  GmbH|Strausberg Stadt|246350|821|030 64905175||Am Weidensee 9A|||Landwirtschaftsbetrieb|MM Agrar Betriebs GmbH|http://www.firmenwissen.de/az/firmeneintrag/15566/3250157710/MM_AGRAR_BETRIEBS_GMBH.html|None
6618|||Milcherzeugung Molau e.G.|Naumburg (Saale) Stadt|321148|1070|034466 20285||Langes Feld 2|||Molkerei|MM Milcherzeugung Molau e.G.|http://www.firmenwissen.de/az/firmeneintrag/06618/3130006379/MILCHERZEUGUNG_MOLAU_EG.html|info@milcherzeugung-molau.de
4720|||Mochauer Landwirtschaftsgesellschaft mbH|Mochau|147321|491|034325 20236||Zur Jahnaquelle 22|||Tierzucht und Tierhaltung|Mochauer Landwirtschaftsgesellschaft mbH|http://www.firmenwissen.de/az/firmeneintrag/04720/3150074206/MOCHAUER_LANDWIRTSCHAFTSGESELLSCHAFT_MBH.html|None
